arm,rep,prompt_len,rc,server_ready_seconds,client_wallclock_seconds,client_exit_code,gpu_returned_clean,csv_path
A0,rep1,128,0,38,38,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A0_p128_rep1/nsys/A0_p128_b1.csv
A0,rep2,128,0,43,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A0_p128_rep2/nsys/A0_p128_b1.csv
A1,rep1,128,0,48,40,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A1_p128_rep1/nsys/A1_p128_b1.csv
A1,rep2,128,0,48,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A1_p128_rep2/nsys/A1_p128_b1.csv
A0,rep1,1024,0,36,38,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A0_p1024_rep1/nsys/A0_p1024_b1.csv
A0,rep2,1024,0,39,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A0_p1024_rep2/nsys/A0_p1024_b1.csv
A1,rep1,1024,0,53,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A1_p1024_rep1/nsys/A1_p1024_b1.csv
A1,rep2,1024,0,53,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A1_p1024_rep2/nsys/A1_p1024_b1.csv
A0,rep1,2048,0,37,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A0_p2048_rep1/nsys/A0_p2048_b1.csv
A0,rep2,2048,0,46,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A0_p2048_rep2/nsys/A0_p2048_b1.csv
A1,rep1,2048,0,48,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A1_p2048_rep1/nsys/A1_p2048_b1.csv
A1,rep2,2048,0,48,40,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A1_p2048_rep2/nsys/A1_p2048_b1.csv
A0,rep1,4096,0,36,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A0_p4096_rep1/nsys/A0_p4096_b1.csv
A0,rep2,4096,0,43,38,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A0_p4096_rep2/nsys/A0_p4096_b1.csv
A1,rep1,4096,0,49,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A1_p4096_rep1/nsys/A1_p4096_b1.csv
A1,rep2,4096,0,48,39,0,True,/data/sglang-vllm-profiler/experiments/qwen35_4b/gdn/results/gdn_stage3_gpu6_20260803T234412Z/A1_p4096_rep2/nsys/A1_p4096_b1.csv
