-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(138)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      28.492ms        57.98%      28.492ms      14.246ms             2  
                 execute_context_1(134)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      17.817ms        36.26%      17.817ms       8.909ms             2  
         nvjet_sm90_tst_192x144_64x5_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      13.733ms        27.95%      13.733ms      54.498us           252  
                 execute_context_1(127)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       9.150ms        18.62%       9.150ms       9.150ms             1  
                 execute_context_1(135)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.933ms        18.18%       8.933ms       8.933ms             1  
                 execute_context_1(130)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.845ms        18.00%       8.845ms       8.845ms             1  
                 execute_context_1(129)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.764ms        17.84%       8.764ms       8.764ms             1  
         nvjet_sm90_tst_128x72_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.705ms        11.61%       5.705ms      31.694us           180  
                                       _vllm_fa3_C::fwd         4.37%       3.884ms        11.04%       9.806ms      34.049us       5.373ms        10.93%       5.389ms      18.712us           288  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       3.678ms         7.49%       3.678ms      12.772us           288  
                nvjet_sm90_tst_64x136_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.341ms         6.80%       3.341ms      18.563us           180  
                nvjet_sm90_tst_64x72_64x12_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.632ms         5.36%       2.632ms      14.624us           180  
                                               aten::mm         2.66%       2.365ms         2.81%       2.500ms     312.547us       2.418ms         4.92%       2.720ms     339.986us             8  
                 nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.412ms         4.91%       2.412ms     301.510us             8  
         nvjet_sm90_tst_64x144_64x8_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.350ms         4.78%       2.350ms      32.639us            72  
         nvjet_sm90_tst_192x128_64x5_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.927ms         3.92%       1.927ms      53.537us            36  
