-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        5.606s        98.92%        5.606s       5.512ms          1017  
                 nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        1.812s        31.98%        1.812s      49.504us         36612  
         nvjet_sm90_tst_128x8_64x12_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        1.029s        18.15%        1.029s      28.099us         36612  
                                               aten::mm         1.04%      55.264ms         1.45%      76.607ms      35.189us     602.301ms        10.63%     602.301ms     276.666us          2177  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     565.602ms         9.98%     565.602ms      15.449us         36612  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     412.579ms         7.28%     412.579ms      11.269us         36612  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     403.002ms         7.11%     403.002ms      11.007us         36612  
                 nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     301.377ms         5.32%     301.377ms     294.026us          1025  
         nvjet_sm90_tst_128x272_64x4_2x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     240.883ms         4.25%     240.883ms     230.731us          1044  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     124.187ms         2.19%     124.187ms       1.696us         73224  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us     103.470ms         1.83%     103.470ms       2.826us         36612  
       triton_poi_fused_copy_index_select_slice_split_4         0.00%       0.000us         0.00%       0.000us       0.000us      94.607ms         1.67%      94.607ms       2.637us         35875  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us      89.733ms         1.58%      89.733ms       2.432us         36900  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      84.264ms         1.49%      84.264ms       2.284us         36900  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      78.397ms         1.38%      78.397ms       2.125us         36900  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us      73.442ms         1.30%      73.442ms       2.047us         35875  
