-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        12.96%      32.274ms        16.05%      39.982ms      34.468us      84.413ms        83.51%      84.936ms      73.220us          1160  
                 execute_context_1(544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      68.492ms        67.76%      68.492ms      34.246ms             2  
                 execute_context_1(537)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      33.169ms        32.81%      33.169ms      33.169ms             1  
                 execute_context_1(548)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      29.381ms        29.07%      29.381ms      29.381ms             1  
                 execute_context_1(546)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      27.762ms        27.47%      27.762ms      27.762ms             1  
                 execute_context_1(539)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      27.665ms        27.37%      27.665ms      27.665ms             1  
                 execute_context_1(533)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      27.630ms        27.33%      27.630ms      27.630ms             1  
                 execute_context_1(528)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      27.311ms        27.02%      27.311ms      27.311ms             1  
         nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      21.776ms        21.54%      21.776ms     151.224us           144  
         nvjet_sm90_tst_128x272_64x4_2x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      15.457ms        15.29%      15.457ms     143.120us           108  
               nvjet_sm90_tst_128x136_64x6_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      10.155ms        10.05%      10.155ms      47.016us           216  
         nvjet_sm90_tst_192x144_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       8.399ms         8.31%       8.399ms      38.882us           216  
                nvjet_sm90_tst_192x96_64x5_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       7.364ms         7.28%       7.364ms      51.136us           144  
               nvjet_sm90_tst_128x144_64x6_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       7.071ms         7.00%       7.071ms      49.106us           144  
                                       _vllm_fa3_C::fwd         1.96%       4.881ms         5.42%      13.487ms      46.831us       5.189ms         5.13%       5.442ms      18.894us           288  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       5.189ms         5.13%       5.189ms      18.018us           288  
         nvjet_sm90_tst_192x176_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.050ms         5.00%       5.050ms     140.291us            36  
