-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_16(16)         0.00%       0.000us         0.00%       0.000us       0.000us        5.561s        95.88%        5.561s       5.973ms           931  
                nvjet_sm90_tst_192x16_64x8_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        1.694s        29.20%        1.694s      50.108us         33804  
        nvjet_sm90_tst_128x16_64x11_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     912.239ms        15.73%     912.239ms      26.986us         33804  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     758.089ms        13.07%     758.089ms      21.958us         34524  
                                               aten::mm         1.01%      47.089ms         1.42%      66.179ms      39.299us     608.757ms        10.50%     609.057ms     361.673us          1684  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     541.875ms         9.34%     541.875ms      16.030us         33804  
         nvjet_sm90_tst_64x16_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     371.168ms         6.40%     371.168ms      10.980us         33804  
                nvjet_sm90_tst_384x16_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     284.309ms         4.90%     284.309ms     301.174us           944  
         nvjet_sm90_tst_192x208_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     180.914ms         3.12%     180.914ms       1.256ms           144  
               execute_context_14(7541)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     162.971ms         2.81%     162.971ms     162.971ms             1  
               execute_context_14(7543)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     159.991ms         2.76%     159.991ms     159.991ms             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     123.878ms         2.14%     123.878ms       1.794us         69048  
                   execute_context_0(0)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     108.915ms         1.88%     108.915ms       5.446ms            20  
       triton_poi_fused_copy_index_select_slice_split_4         0.00%       0.000us         0.00%       0.000us       0.000us     105.331ms         1.82%     105.331ms       3.122us         33740  
         nvjet_sm90_tst_256x160_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      96.719ms         1.67%      96.719ms     671.659us           144  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us      84.192ms         1.45%      84.192ms       2.426us         34704  
