-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        5.989s       105.11%        5.989s       5.424ms          1104  
                 nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        1.961s        34.42%        1.961s      49.338us         39744  
         nvjet_sm90_tst_128x8_64x12_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        1.116s        19.58%        1.116s      28.071us         39744  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     613.375ms        10.77%     613.375ms      15.433us         39744  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     432.726ms         7.60%     432.726ms      10.888us         39744  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     368.316ms         6.46%     368.316ms       9.267us         39744  
                                               aten::mm         0.70%      37.251ms         0.94%      50.061ms      45.019us     328.251ms         5.76%     328.251ms     295.189us          1112  
                 nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     327.293ms         5.74%     327.293ms     294.328us          1112  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     136.937ms         2.40%     136.937ms       1.717us         79776  
       triton_poi_fused_copy_index_select_slice_split_4         0.00%       0.000us         0.00%       0.000us       0.000us     100.939ms         1.77%     100.939ms       2.594us         38920  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us      95.196ms         1.67%      95.196ms       2.378us         40032  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us      91.417ms         1.60%      91.417ms       2.284us         40032  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      85.551ms         1.50%      85.551ms       2.137us         40032  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      81.233ms         1.43%      81.233ms       2.029us         40032  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us      76.934ms         1.35%      76.934ms       1.977us         38920  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      51.870ms         0.91%      51.870ms       1.296us         40032  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us      48.729ms         0.86%      48.729ms       1.252us         38920  
