-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        11.42%      47.288ms        13.39%      55.437ms      47.791us     305.973ms        83.80%     307.118ms     264.757us          1160  
         nvjet_sm90_tst_128x272_64x4_2x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     187.166ms        51.26%     187.166ms     216.627us           864  
                execute_context_1(2164)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     100.366ms        27.49%     100.366ms      50.183ms             2  
                execute_context_1(2141)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      98.580ms        27.00%      98.580ms      49.290ms             2  
         nvjet_sm90_tst_256x144_64x4_2x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      98.028ms        26.85%      98.028ms     544.601us           180  
                execute_context_1(2152)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      60.993ms        16.70%      60.993ms      60.993ms             1  
                execute_context_1(2170)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      49.944ms        13.68%      49.944ms      49.944ms             1  
                execute_context_1(2145)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      49.701ms        13.61%      49.701ms      49.701ms             1  
                execute_context_1(2156)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      48.970ms        13.41%      48.970ms      48.970ms             1  
                                       _vllm_fa3_C::fwd         1.21%       5.028ms         3.25%      13.456ms      46.722us      25.345ms         6.94%      25.743ms      89.384us           288  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      25.345ms         6.94%      25.345ms      88.003us           288  
         nvjet_sm90_tst_256x136_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      17.853ms         4.89%      17.853ms     165.305us           108  
                      triton_poi_fused_mul_silu_slice_1         0.73%       3.036ms         0.96%       3.975ms      13.801us      10.457ms         2.86%      10.457ms      36.310us           288  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      10.457ms         2.86%      10.457ms      36.310us           288  
                  _C_cache_ops::reshape_and_cache_flash         0.39%       1.634ms         0.88%       3.624ms      12.584us       5.969ms         1.63%       5.969ms      20.724us           288  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.969ms         1.63%       5.969ms      20.724us           288  
                  triton_red_fused_fused_add_rms_norm_2         0.86%       3.570ms         1.08%       4.486ms      15.575us       5.879ms         1.61%       5.879ms      20.414us           288  
