-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_16(16)         0.00%       0.000us         0.00%       0.000us       0.000us        4.412s        75.37%        4.412s       5.899ms           748  
                nvjet_sm90_tst_192x16_64x8_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        1.395s        23.83%        1.395s      50.128us         27828  
                                               aten::mm         3.75%     184.992ms         4.39%     216.765ms      58.239us        1.366s        23.33%        1.367s     367.269us          3722  
        nvjet_sm90_tst_128x16_64x11_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     750.843ms        12.82%     750.843ms      26.982us         27828  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     558.894ms         9.55%     558.894ms      18.887us         29592  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     446.603ms         7.63%     446.603ms      16.049us         27828  
         nvjet_sm90_tst_64x16_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     311.115ms         5.31%     311.115ms      11.180us         27828  
                nvjet_sm90_tst_384x16_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     238.426ms         4.07%     238.426ms     301.423us           791  
                   execute_context_0(0)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     234.711ms         4.01%     234.711ms       5.458ms            43  
         nvjet_sm90_tst_128x272_64x4_2x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     209.397ms         3.58%     209.397ms     306.137us           684  
               execute_context_13(7061)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     153.383ms         2.62%     153.383ms     153.383ms             1  
               execute_context_13(7022)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     150.590ms         2.57%     150.590ms     150.590ms             1  
                 execute_context_0(0)_generation_14(14)         0.00%       0.000us         0.00%       0.000us       0.000us     133.587ms         2.28%     133.587ms       5.808ms            23  
               execute_context_11(5962)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     132.854ms         2.27%     132.854ms     132.854ms             1  
               execute_context_11(5916)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     128.978ms         2.20%     128.978ms     128.978ms             1  
         nvjet_sm90_tst_256x160_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     119.441ms         2.04%     119.441ms       1.106ms           108  
               execute_context_10(5388)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     118.713ms         2.03%     118.713ms     118.713ms             1  
