-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        12.06%      29.453ms        15.23%      37.206ms      32.074us      82.454ms        83.28%      82.950ms      71.509us          1160  
                 execute_context_1(534)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      55.958ms        56.52%      55.958ms      27.979ms             2  
                 execute_context_1(543)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      42.116ms        42.54%      42.116ms      42.116ms             1  
         nvjet_sm90_tst_128x272_64x4_2x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      30.879ms        31.19%      30.879ms     142.957us           216  
                 execute_context_1(545)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      29.004ms        29.30%      29.004ms      29.004ms             1  
                 execute_context_1(526)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      27.390ms        27.66%      27.390ms      27.390ms             1  
                 execute_context_1(539)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      27.345ms        27.62%      27.345ms      27.345ms             1  
                 execute_context_1(537)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      27.286ms        27.56%      27.286ms      27.286ms             1  
                 execute_context_1(532)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      27.248ms        27.52%      27.248ms      27.248ms             1  
               nvjet_sm90_tst_128x136_64x6_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      23.667ms        23.90%      23.667ms      46.959us           504  
         nvjet_sm90_tst_192x144_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      11.274ms        11.39%      11.274ms      39.145us           288  
         nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       5.438ms         5.49%       5.438ms     151.046us            36  
                                       _vllm_fa3_C::fwd         2.01%       4.900ms         5.52%      13.476ms      46.793us       5.142ms         5.19%       5.395ms      18.731us           288  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       5.142ms         5.19%       5.142ms      17.853us           288  
         nvjet_sm90_tst_192x176_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.031ms         5.08%       5.031ms     139.746us            36  
               nvjet_sm90_tst_128x144_64x6_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.538ms         3.57%       3.538ms      49.143us            72  
                      triton_poi_fused_mul_silu_slice_1         1.23%       3.007ms         1.68%       4.091ms      14.205us       2.697ms         2.72%       2.697ms       9.364us           288  
